1 2 3 4
5 2 6 4
7 8 9 4
7 10 9 4
7 2 11 4
7 12 6 4
7 13 14 4
5 8 6 15
7 12 11 15
7 2 6 15
7 16 6 15
1 2 11 15
7 2 3 4
7 17 18 4
7 19 20 4
5 8 21 4
7 8 22 4
7 10 18 4
5 12 6 15
7 23 11 15
7 8 14 4
24 13 21 4
7 10 20 4
7 8 25 4
26 2 25 15
7 8 27 4
7 8 6 4
7 8 27 4
26 17 28 4
7 16 18 4
7 2 6 4
24 16 3 4
1 16 14 4
7 10 22 4
7 16 22 4
7 8 3 4
5 17 11 4
7 13 22 4
5 2 11 4
7 2 25 4
7 8 3 4
7 8 9 4
24 2 11 15
7 8 22 4
7 12 6 4
1 29 27 4
7 29 11 4
7 16 6 4
7 30 11 15
24 2 6 15
31 8 6 4
7 16 25 15
7 32 22 4
7 29 14 4
7 8 3 4
7 8 22 4
7 2 18 4
7 8 20 4
7 23 11 15
7 16 25 4
7 8 27 4
7 16 3 4
7 8 3 15
31 16 6 15
7 16 11 4
7 2 18 4
5 2 18 15
7 16 22 4
7 16 11 4
7 8 14 4
7 17 3 4
7 10 14 4
26 19 21 4
7 8 18 4
7 2 14 4
7 8 14 4
7 8 18 4
7 8 27 15
7 8 18 4
26 8 28 15
7 12 11 4
7 13 18 4
24 23 11 15
7 29 11 4
7 16 27 4
7 16 22 4
26 2 28 15
26 16 9 4
5 23 11 15
7 16 18 15
7 17 6 4
24 8 14 4
7 12 6 15
7 2 6 15
5 12 11 4
7 16 25 4
7 8 27 4
31 8 27 15
7 10 9 4
26 8 3 4
7 8 9 4
7 2 18 4
7 30 11 15
5 8 14 15
7 16 18 4
7 8 22 4
7 13 9 4
31 16 18 4
26 29 27 15
7 16 18 4
7 8 27 4
7 16 14 4
7 2 6 4
7 2 6 4
1 2 11 15
7 16 14 4
7 2 6 15
7 16 3 4
7 17 3 15
7 16 27 4
7 17 18 4
7 8 14 4
5 8 27 4
7 2 18 4
7 17 25 4
24 12 11 15
5 8 27 4
7 29 3 4
7 16 18 4
7 16 27 15
31 8 27 4
7 16 18 4
7 16 14 4
7 29 11 15
7 16 25 4
7 8 20 4
7 16 14 4
7 8 14 4
7 10 27 4
26 16 3 4
7 8 3 4
7 2 6 4
7 8 27 4
7 8 27 4
7 2 9 4
5 16 18 4
7 8 27 4
7 2 14 4
7 8 14 4
31 12 6 4
7 8 6 4
5 12 18 15
7 16 14 4
24 17 6 4
1 12 28 4
7 10 9 4
26 29 11 4
7 8 14 4
1 8 28 4
7 16 18 15
7 2 27 4
1 2 11 15
7 8 18 4
7 8 27 4
7 8 9 4
7 8 14 4
7 2 11 4
26 16 6 15
7 16 3 4
7 16 27 4
7 19 22 15
24 16 3 15
7 8 3 4
5 2 6 4
7 12 11 4
1 23 11 15
7 16 22 4
7 16 22 4
26 2 27 4
7 16 25 4
24 2 25 4
7 32 20 4
7 16 27 4
24 12 6 15
7 12 11 15
5 8 18 4
7 12 11 4
7 2 6 15
26 16 11 4
1 8 3 4
7 10 18 4
7 2 14 15
7 8 27 4
31 8 18 15
7 10 18 4
26 8 20 4
7 8 27 15
7 16 18 4
7 8 27 4
31 19 22 15
7 2 6 15
7 17 18 4
7 2 18 4
7 2 11 4
7 33 27 4
7 16 9 4
7 8 14 4
7 8 3 4
26 34 22 4
7 8 18 4
5 8 21 4
7 29 3 4
7 8 3 4
7 10 20 4
7 8 18 4
7 16 3 4
7 16 27 4
7 30 11 15
1 8 14 4
1 16 3 4
7 2 6 15
26 12 6 15
7 8 20 4
7 2 11 15
5 8 14 4
1 17 28 4
7 16 27 4
7 8 3 15
7 8 14 4
7 17 25 15
7 30 11 15
7 2 3 4
26 33 14 4
26 16 3 4
7 16 20 4
5 8 21 15
7 8 14 4
7 8 14 4
7 29 6 4
7 19 27 4
7 2 11 4
7 8 18 4
7 10 14 4
7 16 18 4
7 10 27 4
31 16 6 15
7 8 6 15
7 2 11 4
7 8 27 15
7 8 6 15
7 13 14 4
5 12 21 4
26 12 11 4
7 8 11 4
7 8 9 4
7 16 27 15
7 16 6 4
7 16 25 4
7 16 22 15
7 2 11 4
26 16 27 15
7 17 18 4
7 2 11 4
7 8 9 4
24 12 18 15
7 30 11 15
7 16 14 4
7 2 6 4
7 19 27 4
7 2 11 4
7 8 11 4
26 2 28 4
7 16 18 4
7 2 25 4
7 8 20 4
31 2 18 4
7 8 27 4
7 8 18 4
7 2 3 15
7 16 14 4
7 8 20 15
7 8 18 15
7 16 3 4
7 8 3 4
7 17 25 4
7 17 11 4
7 17 3 15
31 16 21 15
7 2 18 4
7 12 6 15
5 2 11 15
7 16 18 4
7 16 22 4
5 16 18 4
7 32 22 4
7 16 25 4
7 8 14 4
5 8 6 4
7 16 27 4
7 8 20 4
7 10 6 4
5 12 27 4
5 8 21 4
7 16 11 15
5 8 9 4
7 8 20 4
7 16 27 4
7 2 3 4
7 29 14 4
26 33 3 4
7 8 20 4
7 32 14 4
7 8 27 4
7 12 11 4
7 8 18 4
7 8 14 4
7 17 18 4
7 29 27 15
1 8 28 15
7 8 21 4
1 16 28 4
5 2 18 4
7 17 14 4
7 2 11 4
7 2 6 15
7 8 14 4
7 2 6 15
26 10 20 4
24 8 3 15
7 10 14 4
7 29 25 15
7 8 3 4
5 13 27 4
7 33 14 4
